id,occupancy_date,week_no,organization_name,shelter_name,shelter_city,facility_name,sector,occupancy,capacity
3341,02/01/2017,1,The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Toronto,S.A. Maxwell Meighen Centre,Men,18,18
3342,02/01/2017,1,The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Toronto,S.A. Maxwell Meighen Centre,Men,263,270
3343,02/01/2017,1,The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Toronto,S.A. Maxwell Meighen Centre,Men,10,10
3344,02/01/2017,1,The Scott Mission Inc.,Scott Mission Men's Ministry,Toronto,Scott Mission - 502 Spadina Ave,Men,19,19
3345,02/01/2017,1,The Scott Mission Inc.,Scott Mission Men's Ministry,Toronto,Scott Mission - 502 Spadina Ave,Men,53,53
3346,02/01/2017,1,Toronto Community Hostel,Toronto Community Hostel,Toronto,Tor. Comm. Hostel 191 Spadina Rd,Families,25,24
3347,02/01/2017,1,Turning Point Youth Services,Turning Point Youth Services,Toronto,Turning Point Youth Services,Youth,33,35
3348,02/01/2017,1,University Settlement,Univ Settlement House - OOTC,Toronto,U. Settlement OOTC-23 Grange Rd,Co-ed,0,75
3349,02/01/2017,1,University Settlement,Univ Settlement House - OOTC,Toronto,U. Settlement OOTC-23 Grange Rd,Co-ed,0,10
3350,02/01/2017,1,Woodgreen Red Door Family Shelter,Red Door Queen Street,Toronto,Red Door - 1430 Gerrad St E,Families,0,100
3351,02/01/2017,1,YMCA of Greater Toronto,YMCA House,Toronto,Yhouse - Vanauley,Youth,39,40
3352,02/01/2017,1,YMCA of Greater Toronto,YMCA Sprott House,Toronto,YMCA Sprott House Walmer Rd,Youth,24,25
3353,02/01/2017,1,YWCA Toronto,YWCA - Beatrice House,Toronto,YWCA - Beatrice House,Families,0,0
3354,02/01/2017,1,YWCA Toronto,YWCA - First Stop Woodlawn,Toronto,YWCA-80 Woodlawn Av. E.-Women,Women,27,28
3355,02/01/2017,1,YWCA Toronto,YWCA - First Stop Woodlawn,Toronto,YWCA-80 Woodlawn Ave. E.-Youth,Youth,27,28
3356,02/01/2017,1,Youth Without Shelter,Youth Without Shelter,Etobicoke,Youth w/o Shelter Emerg Shelter,Youth,33,33
3357,02/01/2017,1,Youth Without Shelter,Youth Without Shelter,Etobicoke,Youth w/o Shltr Transitional Res,Youth,19,20
6023,03/01/2017,1,The Salvation Army of Canada,Salvation Army - Hope,Toronto,S.A. Hope - 167 College St,Men,0,0
6024,03/01/2017,1,The Salvation Army of Canada,Salvation Army - Hope,Toronto,S.A. Hope - 167 College St,Men,0,0
6025,03/01/2017,1,The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Toronto,S.A. Maxwell Meighen Centre,Men,45,45
6026,03/01/2017,1,The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Toronto,S.A. Maxwell Meighen Centre,Men,18,18
6027,03/01/2017,1,The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Toronto,S.A. Maxwell Meighen Centre,Men,265,270
6028,03/01/2017,1,The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Toronto,S.A. Maxwell Meighen Centre,Men,10,10
6029,03/01/2017,1,The Scott Mission Inc.,Scott Mission Men's Ministry,Toronto,Scott Mission - 502 Spadina Ave,Men,19,19
6030,03/01/2017,1,The Scott Mission Inc.,Scott Mission Men's Ministry,Toronto,Scott Mission - 502 Spadina Ave,Men,53,53
6031,03/01/2017,1,Toronto Community Hostel,Toronto Community Hostel,Toronto,Tor. Comm. Hostel 191 Spadina Rd,Families,23,24
6032,03/01/2017,1,Turning Point Youth Services,Turning Point Youth Services,Toronto,Turning Point Youth Services,Youth,32,35
6033,03/01/2017,1,University Settlement,Univ Settlement House - OOTC,Toronto,U. Settlement OOTC-23 Grange Rd,Co-ed,0,75
6034,03/01/2017,1,University Settlement,Univ Settlement House - OOTC,Toronto,U. Settlement OOTC-23 Grange Rd,Co-ed,0,10
6169,03/01/2017,1,City of Toronto,Seaton House,Toronto,Seaton House - 339 George Street,Men,103,104
6199,03/01/2017,1,COSTI Immigrant Services,COSTI Reception Centre,Toronto,COSTI Reception Centre,Co-ed,16,16
6200,03/01/2017,1,Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,Toronto,Christie Ossington Men's Hostel,Men,14,17
6201,03/01/2017,1,Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,Toronto,Christie Ossington Men's Hostel,Men,63,63
6202,03/01/2017,1,Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,Toronto,Christie Ossington South Hostel,Men,30,30
6203,03/01/2017,1,"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Toronto,Christie Refugee Welcome Centre,Families,69,76
6204,03/01/2017,1,City of Toronto,Birchmount Residence,Toronto,Birchmount Res 1673 Kingston Rd,Men,54,60
